iter	RMSE
0	7.538713484
1	7.444060535
2	7.3473537
3	7.258494379
4	7.174758893
5	7.092230462
6	7.015127431
7	6.942721313
8	6.87374606
9	6.806942573
10	6.739159165
11	6.675347657
12	6.613759032
13	6.557329381
14	6.502698499
15	6.449956969
16	6.399816539
17	6.351436227
18	6.305040875
19	6.263160264
20	6.223302921
21	6.182553333
22	6.143583247
23	6.108120963
24	6.075329426
25	6.042012875
26	6.00914999
27	5.979001922
28	5.949333746
29	5.922958717
30	5.897621521
31	5.8736628
32	5.850684304
33	5.829323988
34	5.807894233
35	5.787543479
36	5.768135627
37	5.750421979
38	5.732607109
39	5.716152599
40	5.700253301
41	5.686696797
42	5.67280697
43	5.65887493
44	5.646725876
45	5.635408958
46	5.62429204
47	5.613313839
48	5.60318226
49	5.59172602
50	5.582166079
51	5.572541628
52	5.564242859
53	5.555503711
54	5.547755486
55	5.540274181
56	5.532202639
57	5.52494119
58	5.518174423
59	5.511336195
60	5.505139328
61	5.499186629
62	5.493216018
63	5.488165195
64	5.483085504
65	5.47837907
66	5.473513094
67	5.468891514
68	5.464977594
69	5.460938841
70	5.457028187
71	5.453521033
72	5.450161383
73	5.446686345
74	5.443193115
75	5.440013435
76	5.436778573
77	5.433606482
78	5.431048832
79	5.428319321
80	5.426104425
81	5.423722934
82	5.421547391
83	5.419185635
84	5.417070839
85	5.41506092
86	5.413159264
87	5.411161997
88	5.409309706
89	5.407340472
90	5.40549433
91	5.403937709
92	5.402093299
93	5.400672911
94	5.399265587
95	5.397661344
96	5.396656053
97	5.395387228
98	5.393908692
99	5.392516698
100	5.391248717
101	5.389967654
102	5.389020629
103	5.38797311
104	5.386800305
105	5.385922932
106	5.384980821
107	5.384077035
108	5.382900739
109	5.381818367
110	5.380825135
111	5.379762784
112	5.378934253
113	5.37807721
114	5.377357405
115	5.376536348
116	5.375849854
117	5.374908688
118	5.374310251
119	5.373603785
120	5.372746849
121	5.372005519
122	5.37128741
123	5.370427049
124	5.369644821
125	5.369162934
126	5.368458718
127	5.367676898
128	5.366992309
129	5.366510004
130	5.365755935
131	5.364885301
132	5.364220973
133	5.363643983
134	5.362908391
135	5.362337315
136	5.36175235
137	5.361313662
138	5.36090266
139	5.360247176
140	5.359564854
141	5.358990812
142	5.358328061
143	5.357547972
144	5.357041489
145	5.356750847
146	5.356329874
147	5.355751428
148	5.355150671
149	5.35470468
150	5.354120713
151	5.353546566
152	5.353024295
153	5.352432142
154	5.352090451
155	5.351839104
156	5.351250962
157	5.350937868
158	5.350382342
159	5.350062086
160	5.349621
161	5.349217621
162	5.348786431
163	5.348159092
164	5.34753676
165	5.347100486
166	5.346715915
167	5.346319672
168	5.345745837
169	5.345264895
170	5.344717128
171	5.344313606
172	5.343566465
173	5.343059346
174	5.342672139
175	5.342341251
176	5.341916408
177	5.341460084
178	5.341138167
179	5.340707337
180	5.340007969
181	5.339471931
182	5.339161771
183	5.338889791
184	5.338495317
185	5.338174108
186	5.33741596
187	5.336745537
188	5.336334443
