iter	Passed	Remaining
0	7	7131
1	10	5123
2	15	5119
3	21	5238
4	24	4787
5	27	4521
6	30	4353
7	33	4101
8	36	4061
9	38	3836
10	40	3664
11	42	3513
12	44	3379
13	46	3255
14	48	3173
15	50	3102
16	52	3017
17	53	2942
18	55	2878
19	57	2826
20	59	2789
21	63	2841
22	65	2798
23	67	2752
24	69	2706
25	70	2658
26	72	2616
27	74	2579
28	76	2548
29	77	2513
30	79	2479
31	80	2445
32	82	2416
33	84	2390
34	85	2367
35	88	2358
36	89	2335
37	91	2310
38	92	2286
39	93	2245
40	95	2223
41	96	2202
42	98	2185
43	99	2169
44	101	2152
45	102	2134
46	104	2117
47	105	2100
48	107	2083
49	108	2067
50	110	2054
51	112	2043
52	113	2031
53	115	2018
54	116	2008
55	118	1998
56	120	1988
57	121	1978
58	123	1976
59	125	1967
60	126	1954
61	128	1944
62	130	1934
63	131	1924
64	133	1915
65	134	1905
66	136	1898
67	138	1891
68	139	1882
69	141	1873
70	142	1866
71	144	1860
72	146	1854
73	147	1848
74	149	1846
75	151	1840
76	153	1834
77	154	1827
78	156	1820
79	157	1813
80	159	1806
81	161	1803
82	162	1796
83	164	1789
84	165	1782
85	167	1775
86	168	1769
87	170	1762
88	171	1758
89	173	1759
90	175	1754
91	177	1746
92	178	1741
93	180	1735
94	181	1728
95	182	1721
96	184	1715
97	185	1711
98	187	1709
99	189	1705
100	191	1700
101	192	1694
102	193	1689
103	195	1683
104	196	1678
105	198	1675
106	200	1671
107	201	1667
108	203	1663
109	205	1659
110	206	1655
111	208	1651
112	209	1647
113	211	1645
114	213	1641
115	214	1637
116	216	1635
117	218	1630
118	219	1626
119	221	1622
120	223	1620
121	224	1617
122	226	1616
123	228	1611
124	229	1607
125	231	1603
126	232	1599
127	234	1595
128	236	1594
129	237	1591
130	239	1588
131	241	1586
132	242	1582
133	244	1581
134	246	1579
135	248	1579
136	250	1576
137	251	1573
138	253	1570
139	255	1567
140	256	1563
141	258	1559
142	260	1560
143	262	1562
144	264	1560
145	266	1558
146	268	1556
147	269	1553
148	271	1550
149	273	1550
150	275	1548
151	277	1545
152	278	1543
153	280	1540
154	282	1537
155	283	1533
156	285	1531
157	287	1533
158	289	1530
159	291	1527
160	292	1525
161	294	1522
162	295	1519
163	297	1517
164	299	1515
165	301	1512
166	302	1510
167	304	1508
168	306	1506
169	308	1504
170	310	1502
171	311	1500
172	313	1497
173	314	1494
174	316	1491
175	318	1488
176	319	1486
177	321	1482
178	323	1482
179	324	1480
180	326	1477
181	328	1475
182	330	1473
183	331	1471
184	333	1469
185	335	1469
186	337	1468
187	339	1466
188	341	1464
189	342	1462
190	344	1459
191	346	1456
192	348	1455
193	349	1452
194	351	1449
195	352	1446
196	353	1442
197	355	1440
198	357	1437
199	358	1434
200	360	1432
201	361	1429
202	363	1426
203	364	1424
204	366	1421
205	367	1418
206	369	1415
207	370	1412
208	372	1410
209	374	1408
210	375	1405
211	377	1403
212	378	1400
213	380	1398
214	382	1395
215	383	1392
216	385	1390
217	387	1388
218	388	1386
219	390	1383
220	391	1381
221	393	1379
222	395	1376
223	396	1375
224	398	1373
225	400	1370
226	401	1367
227	403	1364
228	404	1362
229	406	1359
230	407	1357
231	409	1355
232	410	1352
233	412	1350
234	414	1347
235	415	1345
236	417	1342
237	418	1339
238	420	1337
239	421	1335
240	423	1333
241	425	1331
242	426	1328
243	427	1325
244	429	1323
245	430	1320
246	432	1318
247	434	1316
248	435	1314
249	437	1311
250	438	1309
251	440	1307
252	442	1305
253	443	1303
254	445	1301
255	447	1299
256	448	1297
257	450	1296
258	452	1293
259	453	1291
260	455	1289
261	456	1286
262	458	1284
263	460	1283
264	462	1281
265	463	1279
266	465	1276
267	466	1274
268	468	1272
269	469	1269
270	471	1267
271	472	1265
272	474	1263
273	475	1261
274	477	1258
275	478	1256
276	480	1254
277	482	1251
278	483	1249
279	485	1248
280	487	1246
281	488	1244
282	490	1242
283	492	1240
284	493	1238
285	495	1236
286	497	1235
287	498	1232
288	500	1230
289	501	1228
290	503	1225
291	504	1223
292	506	1221
293	507	1219
294	509	1218
295	511	1216
296	512	1213
297	514	1211
298	515	1209
299	517	1207
300	518	1204
301	520	1202
302	521	1200
303	523	1198
304	525	1196
305	526	1193
306	527	1191
307	529	1189
308	531	1187
309	532	1185
310	534	1184
311	536	1182
312	537	1179
313	539	1177
314	540	1175
315	541	1173
316	543	1170
317	544	1168
318	546	1166
319	548	1164
320	549	1162
321	551	1160
322	552	1158
323	554	1155
324	555	1153
325	556	1151
326	558	1150
327	560	1148
328	562	1146
329	563	1144
330	565	1142
331	567	1140
332	568	1139
333	570	1136
334	571	1135
335	573	1133
336	575	1131
337	576	1129
338	579	1129
339	586	1139
340	588	1137
341	590	1137
342	592	1135
343	595	1134
344	598	1136
345	601	1136
346	603	1136
347	605	1134
348	607	1132
349	609	1131
350	611	1130
351	613	1129
352	615	1127
353	617	1126
354	619	1124
355	621	1123
356	623	1122
357	624	1120
358	626	1118
359	627	1116
360	629	1114
361	630	1112
362	632	1110
363	634	1108
364	636	1106
365	637	1104
366	639	1102
367	640	1100
368	642	1097
369	643	1095
370	645	1093
371	647	1092
372	648	1090
373	650	1088
374	651	1085
375	653	1083
376	654	1081
377	656	1079
378	657	1077
379	659	1075
380	661	1074
381	662	1072
382	664	1070
383	665	1068
384	667	1065
385	668	1063
386	670	1061
387	672	1060
388	673	1058
389	675	1056
390	676	1054
391	678	1052
392	680	1050
393	681	1048
394	683	1046
395	684	1044
396	686	1042
397	688	1040
398	689	1038
399	690	1036
400	692	1034
401	694	1032
402	695	1030
403	697	1028
404	698	1026
405	700	1024
406	701	1022
407	703	1020
408	704	1018
409	706	1016
410	708	1014
411	710	1014
412	712	1012
413	714	1011
414	715	1009
